,Price__Price,Key Specs__Backlit Keyboard,Key Specs__Screen Size,Key Specs__Touch Screen,Key Specs__Storage Type,Key Specs__System Memory (RAM),Key Specs__Graphics,Key Specs__Processor Speed (Base),Key Specs__Processor Model,Key Specs__Processor Model Number,Key Specs__Operating System,Key Specs__Battery Type,General__Product Name,General__Brand,General__Model Number,General__Color Category,Feature__Backlit Keyboard,Display__Screen Size,Display__Screen Resolution,Display__Touch Screen,Display__Display Type,Storage__Storage Type,Memory__System Memory (RAM),Memory__Type of Memory (RAM),Graphics__Graphics,Graphics__Graphics Type,Processor__Processor Brand,Processor__Processor Speed (Base),Processor__Processor Model,Processor__Processor Model Number,Compatibility__Operating System,Included__Built-In Webcam,Included__Optical Drive Type,Power__Battery Type,Dimension__Product Height,Dimension__Product Width,Dimension__Product Depth,Certifications & Listings__ENERGY STAR Certified,Certifications & Listings__EPEAT Qualified,Warranty__Manufacturer's Warranty - Parts,Warranty__Manufacturer's Warranty - Labor,Other__UPC
0,Your price for this item is $119.00,No,11.6 inches,No,eMMC,4 gigabytes,None,1.04 gigahertz,Intel Atom,E8000,Chrome OS,Lithium-ion,"11.6"" Chromebook - Intel Atom x5 - 4GB Memory - 32GB eMMC Flash Memory",Samsung,XE501C13-S02US,Black,No,11.6 inches,1366 x 768 (HD),No,Widescreen LED,eMMC,4 gigabytes,LPDDR3,None,None,Intel,1.04 gigahertz,Intel Atom,E8000,Chrome OS,Yes,None,Lithium-ion,0.7 inches,11.4 inches,8.1 inches,Yes,No,1 year,1 year,887276361505
1,Your price for this item is $279.99,No,15.6 inches,Yes,SSD,8 gigabytes,Intel UHD Graphics 620,2.1 gigahertz,Intel 8th Generation Core i3,i3-8145U,Windows 10 Home in S mode,Lithium-ion,"Inspiron 15.6"" Touch-Screen Laptop - Intel Core i3 - 8GB Memory - 128GB SSD",Dell,i3583-3756BLK-PUS,Black,No,15.6 inches,1366 x 768 (HD),Yes,Touchscreen Widescreen LED-LCD,SSD,8 gigabytes,DDR4 SDRAM,Intel UHD Graphics 620,Integrated,Intel,2.1 gigahertz,Intel 8th Generation Core i3,i3-8145U,Windows 10 Home in S mode,Yes,None,Lithium-ion,0.78 inches,15 inches,10.2 inches,No,No,1 year,1 year,884116316756
2,Your price for this item is $349.99,No,15.6 inches,Yes,SSD,8 gigabytes,Intel UHD Graphics 620,1.6 gigahertz,Intel 8th Generation Core i5,i5-8265U,Windows 10 Home in S mode,Lithium-ion,"Inspiron 15.6"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive",Dell,BBY-W1J46FX,Black,No,15.6 inches,1366 x 768 (HD),Yes,Touchscreen Widescreen LED,SSD,8 gigabytes,DDR4 SDRAM,Intel UHD Graphics 620,Integrated,Intel,1.6 gigahertz,Intel 8th Generation Core i5,i5-8265U,Windows 10 Home in S mode,Yes,None,Lithium-ion,0.78 inches,15 inches,10.2 inches,Yes,No,1 year,1 year,884116316763
3,Your price for this item is $349.00,Yes,14 inches,Yes,eMMC,8 gigabytes,Intel UHD Graphics 620,2.2 gigahertz,Intel 8th Generation Core i3,i3-8130U,Chrome OS,Lithium-polymer,"2-in-1 14"" Touch-Screen Chromebook - Intel Core i3 - 8GB Memory - 64GB eMMC Flash Memory",HP,14-DA0012DX,White,Yes,14 inches,1920 x 1080 (Full HD),Yes,Full HD Widescreen LED,eMMC,8 gigabytes,DDR4 SDRAM,Intel UHD Graphics 620,Integrated,Intel,2.2 gigahertz,Intel 8th Generation Core i3,i3-8130U,Chrome OS,No,None,Lithium-polymer,0.6 inches,12.8 inches,8.9 inches,Yes,Yes,1 year,1 year,193905722389
4,Your price for this item is $499.99,Yes,14 inches,Yes,SSD,8 gigabytes,None,1.6 gigahertz,Intel 10th Generation Core i5,i5-10210U,Windows 10 Home,Lithium-ion,"Pavilion x360 2-in-1 14"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB SSD + 16GB Optane",HP,14M-DH1003DX,Gold,Yes,14 inches,1920 x 1080 (Full HD),Yes,Full HD Widescreen LED,SSD,8 gigabytes,DDR4 SDRAM,None,None,Intel,1.6 gigahertz,Intel 10th Generation Core i5,i5-10210U,Windows 10 Home,Yes,None,Lithium-ion,0.8 inches,12.8 inches,8.8 inches,Yes,No,1 year,1 year,193905741007
5,Your price for this item is $749.99,Yes,15.6 inches,Yes,SSD,12 gigabytes,None,1.8 gigahertz,Intel 10th Generation Core i7,i7-10510U,Windows 10 Home,Lithium-ion,"ENVY x360 2-in-1 15.6"" Touch-Screen Laptop - Intel Core i7 - 12GB Memory - 512GB SSD + 32GB Optane",HP,15M-DR1012DX,Silver,Yes,15.6 inches,1920 x 1080 (Full HD),Yes,Full HD Widescreen LED,SSD,12 gigabytes,DDR4 SDRAM,None,Integrated,Intel,1.8 gigahertz,Intel 10th Generation Core i7,i7-10510U,Windows 10 Home,Yes,None,Lithium-ion,0.7 inches,14.1 inches,9.7 inches,Yes,Yes,1 year,1 year,193905745302
6,Your price for this item is $449.99,Yes,15.6 inches,No,SSD,8 gigabytes,NVIDIA GeForce GTX 1050,2.1 gigahertz,AMD 2nd Generation Ryzen 5,3550H,Windows 10 Home,Lithium-ion,"15.6"" Gaming Laptop - AMD Ryzen 5 - 8GB Memory - NVIDIA GeForce GTX 1050 - 256GB Solid State Drive",HP,15-EC0013DX,Black,Yes,15.6 inches,1920 x 1080 (Full HD),No,Full HD Widescreen LED,SSD,8 gigabytes,DDR4 SDRAM,NVIDIA GeForce GTX 1050,Discrete,AMD,2.1 gigahertz,AMD 2nd Generation Ryzen 5,3550H,Windows 10 Home,Yes,None,Lithium-ion,0.9 inches,14.2 inches,10.1 inches,Yes,No,1 year,1 year,193905625994
7,Your price for this item is $129.99,No,14 inches,No,eMMC,4 gigabytes,AMD Radeon R4,1.6 gigahertz,AMD A6,A6-9220e,Windows 10 Home,Lithium-ion,"IdeaPad 1 14"" Laptop - AMD A6-Series - 4GB Memory - AMD Radeon R4 - 64GB eMMC Flash Memory",Lenovo,81VS0001US,Gray,No,14 inches,1366 x 768 (HD),No,Widescreen LED,eMMC,4 gigabytes,Not provided,AMD Radeon R4,Integrated,AMD,1.6 gigahertz,AMD A6,A6-9220e,Windows 10 Home,No,None,Lithium-ion,0.8 inches,12.9 inches,9.3 inches,No,No,1 year,1 year,193638553243
8,Your price for this item is $579.99,Yes,15.6 inches,No,SSD,8 gigabytes,NVIDIA GeForce GTX 1650,2.4 gigahertz,Intel 9th Generation Core i5,i5-9300H,Windows 10 Home,Lithium-ion,"15.6"" Gaming Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1650 - 512GB Solid State Drive",ASUS,FX505GT-BI5N7,Black,Yes,15.6 inches,1920 x 1080 (Full HD),No,Full HD Widescreen LED,SSD,8 gigabytes,DDR4 SDRAM,NVIDIA GeForce GTX 1650,Integrated,Intel,2.4 gigahertz,Intel 9th Generation Core i5,i5-9300H,Windows 10 Home,Yes,None,Lithium-ion,1.1 inches,14.2 inches,10.3 inches,No,No,1 year,1 year,192876389591
9,"Your price for this item is $1,099.99",Yes,15.6 inches,Yes,SSD,16 gigabytes,NVIDIA GeForce MX250,1.8 gigahertz,Intel 10th Generation Core i7,i7-10510U,Windows 10 Home,Lithium-ion,"Spectre x360 2-in-1 15.6"" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB SSD + 32GB Optane",HP,15-DF1033DX,Gray,Yes,15.6 inches,3840 x 2160 (4K),Yes,Touchscreen Widescreen LED-LCD,SSD,16 gigabytes,DDR4 SDRAM,NVIDIA GeForce MX250,Integrated,Intel,1.8 gigahertz,Intel 10th Generation Core i7,i7-10510U,Windows 10 Home,Yes,None,Lithium-ion,0.8 inches,14.2 inches,9.8 inches,Yes,Yes,1 year,1 year,193905743773
10,"Your price for this item is $1,299.99",Yes,13.3 inches,No,SSD,8 gigabytes,Intel Iris Plus Graphics 645,1.4 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,Lithium-polymer,"MacBook Pro - 13"" Display with Touch Bar - Intel Core i5 - 8GB Memory - 256GB SSD (Latest Model)",Apple,MUHP2LL/A,Space Gray,Yes,13.3 inches,2560 x 1600 (Retina),No,LCD,SSD,8 gigabytes,LPDDR3,Intel Iris Plus Graphics 645,Integrated,Intel,1.4 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,Yes,None,Lithium-polymer,0.59 inches,12 inches,8.36 inches,Yes,Yes,1 Year,1 Year,190198947840
11,Your price for this item is $899.99,Yes,13.3 inches,No,SSD,8 gigabytes,Intel UHD Graphics 617,1.6 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,Lithium-polymer,"MacBook Air 13.3"" Laptop with Touch ID - Intel Core i5 - 8GB Memory - 128GB Solid State Drive (Latest Model)",Apple,MVFK2LL/A,Silver,Yes,13.3 inches,2560 x 1600 (Retina),No,LCD,SSD,8 gigabytes,LPDDR3,Intel UHD Graphics 617,Integrated,Intel,1.6 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,Yes,None,Lithium-polymer,0.61 inches,12 inches,8.36 inches,Yes,Yes,1 Year,1 Year,190199256842
12,Your price for this item is $899.99,Yes,17.3 inches,No,SSD,16 gigabytes,Other,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,Lithium-ion,"17.3"" Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1660 Ti - 512GB Solid State Drive",ASUS,G731GU-BI7N9,Black,Yes,17.3 inches,1920 x 1080 (Full HD),No,Full HD Widescreen LED,SSD,16 gigabytes,DDR4 SDRAM,Other,Discrete,Intel,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,No,None,Lithium-ion,1 inches,15.7 inches,11.5 inches,No,No,1 year,1 year,192876389584
